topic,category,year,share,prev_avg_share,burst_score
Representation Learning,Foundation Learning,2016,0.06862745098039216,0.08907514552675844,-0.020447694546366274
"Robustness, Privacy & Safety",Trustworthy AI,2016,0.029411764705882353,0.04484249645539968,-0.015430731749517326
"Biology, Molecules & Health",AI for Science,2017,0.008,,
"Causality, Dynamics & Scientific ML",Scientific ML,2017,0.024,0.03825254441952734,-0.014252544419527342
Classical Statistical ML,Core ML,2017,0.112,0.1960544726199375,-0.0840544726199375
Computer Vision & 3D Perception,Perception,2017,0.056,0.03908870488566883,0.01691129511433117
Federated & Distributed Learning,Systems for ML,2017,0.024,0.025271692254614456,-0.0012716922546144559
Games & Mechanism Design,Decision Making,2017,0.016,,
Generative Models & Diffusion,Generative AI,2017,0.072,0.028448622850899895,0.043551377149100096
Graph Machine Learning,Structured Learning,2017,0.048,0.028652272248097674,0.019347727751902327
Language Models & NLP,Generative AI,2017,0.072,,
Multimodal & Vision-Language,Perception,2017,0.016,,
Optimization & Learning Theory,Core ML,2017,0.168,0.1783944760699979,-0.010394476069997882
Probabilistic Modeling,Core ML,2017,0.136,0.22975245816801793,-0.09375245816801792
Reinforcement Learning & Bandits,Decision Making,2017,0.088,0.07078373871542752,0.017216261284572473
Representation Learning,Foundation Learning,2017,0.104,0.08942843999769996,0.014571560002300032
"Robustness, Privacy & Safety",Trustworthy AI,2017,0.056,0.03212389550150461,0.023876104498495393
"Biology, Molecules & Health",AI for Science,2018,0.008064516129032258,,
"Causality, Dynamics & Scientific ML",Scientific ML,2018,0.04435483870967742,0.03867678684376977,0.0056780518659076545
Classical Statistical ML,Core ML,2018,0.13709677419354838,0.16520598777145268,-0.028109213577904302
Computer Vision & 3D Perception,Perception,2018,0.04435483870967742,0.046391735188699136,-0.0020368964790217145
Federated & Distributed Learning,Systems for ML,2018,0.012096774193548387,0.018120177103099305,-0.006023402909550918
Games & Mechanism Design,Decision Making,2018,0.012096774193548387,,
Generative Models & Diffusion,Generative AI,2018,0.04838709677419355,0.04487286527514232,0.0035142314990512305
Graph Machine Learning,Structured Learning,2018,0.03225806451612903,0.033288635884461314,-0.0010305713683322823
Language Models & NLP,Generative AI,2018,0.04435483870967742,0.05404427577482606,-0.009689437065148639
Multimodal & Vision-Language,Perception,2018,0.008064516129032258,,
Optimization & Learning Theory,Core ML,2018,0.17338709677419356,0.19272780940333123,-0.01934071262913767
Probabilistic Modeling,Core ML,2018,0.1814516129032258,0.18796457938013914,-0.006512966476913323
Reinforcement Learning & Bandits,Decision Making,2018,0.11290322580645161,0.06981404174573054,0.04308918406072107
Representation Learning,Foundation Learning,2018,0.07661290322580645,0.08621631878557874,-0.009603415559772288
"Robustness, Privacy & Safety",Trustworthy AI,2018,0.06451612903225806,0.03563904701665613,0.028877082015601935
"Biology, Molecules & Health",AI for Science,2019,0.005263157894736842,0.01189078642209572,-0.006627628527358878
"Causality, Dynamics & Scientific ML",Scientific ML,2019,0.031578947368421054,0.03912481551760489,-0.007545868149183836
Classical Statistical ML,Core ML,2019,0.11052631578947368,0.1320518659076534,-0.021525550118179707
Computer Vision & 3D Perception,Perception,2019,0.06842105263157895,0.04325553447185326,0.02516551815972569
Federated & Distributed Learning,Systems for ML,2019,0.013157894736842105,0.018568205776934427,-0.005410311040092323
Games & Mechanism Design,Decision Making,2019,0.021052631578947368,,
Generative Models & Diffusion,Generative AI,2019,0.05263157894736842,0.04666497997048282,0.005966598976885597
Graph Machine Learning,Structured Learning,2019,0.034210526315789476,0.033288635884461314,0.0009218904313281623
Language Models & NLP,Generative AI,2019,0.04736842105263158,0.061660763230023195,-0.014292342177391615
Multimodal & Vision-Language,Perception,2019,0.010526315789473684,,
Optimization & Learning Theory,Core ML,2019,0.15263157894736842,0.18242314990512334,-0.02979157095775492
Probabilistic Modeling,Core ML,2019,0.1368421052631579,0.18751655070630402,-0.050674445443146116
