source,target,source_topic,target_topic,source_period,target_period,weight,transition_type
"Causality, Dynamics & Scientific ML@2010-2014",Probabilistic Modeling@2015-2019,"Causality, Dynamics & Scientific ML",Probabilistic Modeling,2010-2014,2015-2019,1716,cooccurrence
"Causality, Dynamics & Scientific ML@2010-2014",Reinforcement Learning & Bandits@2015-2019,"Causality, Dynamics & Scientific ML",Reinforcement Learning & Bandits,2010-2014,2015-2019,1045,cooccurrence
"Causality, Dynamics & Scientific ML@2010-2014",Representation Learning@2015-2019,"Causality, Dynamics & Scientific ML",Representation Learning,2010-2014,2015-2019,979,cooccurrence
"Causality, Dynamics & Scientific ML@2010-2014","Robustness, Privacy & Safety@2015-2019","Causality, Dynamics & Scientific ML","Robustness, Privacy & Safety",2010-2014,2015-2019,682,cooccurrence
Classical Statistical ML@2010-2014,"Biology, Molecules & Health@2015-2019",Classical Statistical ML,"Biology, Molecules & Health",2010-2014,2015-2019,539,cooccurrence
Classical Statistical ML@2010-2014,"Causality, Dynamics & Scientific ML@2015-2019",Classical Statistical ML,"Causality, Dynamics & Scientific ML",2010-2014,2015-2019,2695,cooccurrence
Classical Statistical ML@2010-2014,Computer Vision & 3D Perception@2015-2019,Classical Statistical ML,Computer Vision & 3D Perception,2010-2014,2015-2019,4004,cooccurrence
Classical Statistical ML@2010-2014,Federated & Distributed Learning@2015-2019,Classical Statistical ML,Federated & Distributed Learning,2010-2014,2015-2019,1078,cooccurrence
Classical Statistical ML@2010-2014,Games & Mechanism Design@2015-2019,Classical Statistical ML,Games & Mechanism Design,2010-2014,2015-2019,1078,cooccurrence
Classical Statistical ML@2010-2014,Generative Models & Diffusion@2015-2019,Classical Statistical ML,Generative Models & Diffusion,2010-2014,2015-2019,3619,cooccurrence
Classical Statistical ML@2010-2014,Graph Machine Learning@2015-2019,Classical Statistical ML,Graph Machine Learning,2010-2014,2015-2019,2464,cooccurrence
Classical Statistical ML@2010-2014,Language Models & NLP@2015-2019,Classical Statistical ML,Language Models & NLP,2010-2014,2015-2019,3619,cooccurrence
Classical Statistical ML@2010-2014,Multimodal & Vision-Language@2015-2019,Classical Statistical ML,Multimodal & Vision-Language,2010-2014,2015-2019,693,cooccurrence
Classical Statistical ML@2010-2014,Optimization & Learning Theory@2015-2019,Classical Statistical ML,Optimization & Learning Theory,2010-2014,2015-2019,12474,cooccurrence
Classical Statistical ML@2010-2014,Probabilistic Modeling@2015-2019,Classical Statistical ML,Probabilistic Modeling,2010-2014,2015-2019,12012,cooccurrence
Classical Statistical ML@2010-2014,Reinforcement Learning & Bandits@2015-2019,Classical Statistical ML,Reinforcement Learning & Bandits,2010-2014,2015-2019,7315,cooccurrence
Classical Statistical ML@2010-2014,Representation Learning@2015-2019,Classical Statistical ML,Representation Learning,2010-2014,2015-2019,6853,cooccurrence
Classical Statistical ML@2010-2014,"Robustness, Privacy & Safety@2015-2019",Classical Statistical ML,"Robustness, Privacy & Safety",2010-2014,2015-2019,4774,cooccurrence
