topic,category,year,count,total_papers,share
Reinforcement Learning & Bandits,Decision Making,2017,11,125,0.088
Representation Learning,Foundation Learning,2017,13,125,0.104
"Robustness, Privacy & Safety",Trustworthy AI,2017,7,125,0.056
"Biology, Molecules & Health",AI for Science,2018,2,248,0.008064516129032258
"Causality, Dynamics & Scientific ML",Scientific ML,2018,11,248,0.04435483870967742
Classical Statistical ML,Core ML,2018,34,248,0.13709677419354838
Computer Vision & 3D Perception,Perception,2018,11,248,0.04435483870967742
Federated & Distributed Learning,Systems for ML,2018,3,248,0.012096774193548387
Games & Mechanism Design,Decision Making,2018,3,248,0.012096774193548387
Generative Models & Diffusion,Generative AI,2018,12,248,0.04838709677419355
Graph Machine Learning,Structured Learning,2018,8,248,0.03225806451612903
Language Models & NLP,Generative AI,2018,11,248,0.04435483870967742
Multimodal & Vision-Language,Perception,2018,2,248,0.008064516129032258
Optimization & Learning Theory,Core ML,2018,43,248,0.17338709677419356
Probabilistic Modeling,Core ML,2018,45,248,0.1814516129032258
Reinforcement Learning & Bandits,Decision Making,2018,28,248,0.11290322580645161
Representation Learning,Foundation Learning,2018,19,248,0.07661290322580645
"Robustness, Privacy & Safety",Trustworthy AI,2018,16,248,0.06451612903225806
"Biology, Molecules & Health",AI for Science,2019,2,380,0.005263157894736842
"Causality, Dynamics & Scientific ML",Scientific ML,2019,12,380,0.031578947368421054
Classical Statistical ML,Core ML,2019,42,380,0.11052631578947368
Computer Vision & 3D Perception,Perception,2019,26,380,0.06842105263157895
Federated & Distributed Learning,Systems for ML,2019,5,380,0.013157894736842105
Games & Mechanism Design,Decision Making,2019,8,380,0.021052631578947368
Generative Models & Diffusion,Generative AI,2019,20,380,0.05263157894736842
Graph Machine Learning,Structured Learning,2019,13,380,0.034210526315789476
Language Models & NLP,Generative AI,2019,18,380,0.04736842105263158
Multimodal & Vision-Language,Perception,2019,4,380,0.010526315789473684
Optimization & Learning Theory,Core ML,2019,58,380,0.15263157894736842
Probabilistic Modeling,Core ML,2019,52,380,0.1368421052631579
Reinforcement Learning & Bandits,Decision Making,2019,44,380,0.11578947368421053
Representation Learning,Foundation Learning,2019,42,380,0.11052631578947368
"Robustness, Privacy & Safety",Trustworthy AI,2019,34,380,0.08947368421052632
"Biology, Molecules & Health",AI for Science,2020,1,456,0.0021929824561403508
"Causality, Dynamics & Scientific ML",Scientific ML,2020,16,456,0.03508771929824561
Classical Statistical ML,Core ML,2020,57,456,0.125
Computer Vision & 3D Perception,Perception,2020,26,456,0.05701754385964912
