Source,Target,Type,Weight,Period
Cloud DB,Data Analytics,Undirected,10,2020-2024
Cloud DB,Data Integration,Undirected,1,2020-2024
Cloud DB,Distributed DB,Undirected,7,2020-2024
Cloud DB,Indexing,Undirected,8,2020-2024
Cloud DB,ML for DB,Undirected,5,2020-2024
Cloud DB,Query Optimization,Undirected,2,2020-2024
Cloud DB,Streaming,Undirected,1,2020-2024
Cloud DB,Transactions,Undirected,1,2020-2024
Crowdsourcing,Data Analytics,Undirected,1,2020-2024
Crowdsourcing,Graph Data,Undirected,1,2020-2024
Crowdsourcing,Information Retrieval,Undirected,1,2020-2024
Crowdsourcing,ML for DB,Undirected,2,2020-2024
Data Analytics,Data Integration,Undirected,2,2020-2024
Data Analytics,Distributed DB,Undirected,20,2020-2024
Data Analytics,Graph Data,Undirected,35,2020-2024
Data Analytics,Indexing,Undirected,26,2020-2024
Data Analytics,Information Retrieval,Undirected,12,2020-2024
Data Analytics,ML for DB,Undirected,44,2020-2024
Data Analytics,Privacy / Security,Undirected,2,2020-2024
Data Analytics,Query Optimization,Undirected,23,2020-2024
Data Analytics,RDF / Semantic Web,Undirected,5,2020-2024
Data Analytics,Spatial / Temporal,Undirected,18,2020-2024
Data Analytics,Streaming,Undirected,5,2020-2024
Data Analytics,Text-to-SQL / NLIDB,Undirected,2,2020-2024
Data Analytics,Transactions,Undirected,3,2020-2024
Data Analytics,Vector Search,Undirected,1,2020-2024
Data Integration,Graph Data,Undirected,6,2020-2024
Data Integration,Information Retrieval,Undirected,4,2020-2024
Data Integration,ML for DB,Undirected,5,2020-2024
Data Integration,RDF / Semantic Web,Undirected,1,2020-2024
Data Integration,Spatial / Temporal,Undirected,2,2020-2024
Data Integration,Streaming,Undirected,2,2020-2024
Distributed DB,Graph Data,Undirected,23,2020-2024
Distributed DB,Indexing,Undirected,13,2020-2024
Distributed DB,ML for DB,Undirected,16,2020-2024
Distributed DB,Privacy / Security,Undirected,1,2020-2024
Distributed DB,Query Optimization,Undirected,19,2020-2024
Distributed DB,Spatial / Temporal,Undirected,4,2020-2024
Distributed DB,Streaming,Undirected,13,2020-2024
Distributed DB,Transactions,Undirected,8,2020-2024
Graph Data,Indexing,Undirected,12,2020-2024
Graph Data,Information Retrieval,Undirected,28,2020-2024
Graph Data,ML for DB,Undirected,55,2020-2024
Graph Data,Privacy / Security,Undirected,2,2020-2024
Graph Data,Query Optimization,Undirected,21,2020-2024
Graph Data,RDF / Semantic Web,Undirected,18,2020-2024
Graph Data,Spatial / Temporal,Undirected,21,2020-2024
Graph Data,Streaming,Undirected,12,2020-2024
Graph Data,Vector Search,Undirected,5,2020-2024
Indexing,Information Retrieval,Undirected,6,2020-2024
Indexing,ML for DB,Undirected,29,2020-2024
Indexing,Query Optimization,Undirected,5,2020-2024
Indexing,Spatial / Temporal,Undirected,8,2020-2024
Indexing,Transactions,Undirected,2,2020-2024
Indexing,Vector Search,Undirected,3,2020-2024
Information Retrieval,ML for DB,Undirected,12,2020-2024
Information Retrieval,Query Optimization,Undirected,10,2020-2024
Information Retrieval,RDF / Semantic Web,Undirected,3,2020-2024
Information Retrieval,Spatial / Temporal,Undirected,7,2020-2024
Information Retrieval,Streaming,Undirected,1,2020-2024
Information Retrieval,Text-to-SQL / NLIDB,Undirected,1,2020-2024
Information Retrieval,Vector Search,Undirected,23,2020-2024
ML for DB,Privacy / Security,Undirected,7,2020-2024
ML for DB,Query Optimization,Undirected,46,2020-2024
ML for DB,RDF / Semantic Web,Undirected,4,2020-2024
ML for DB,Spatial / Temporal,Undirected,25,2020-2024
ML for DB,Streaming,Undirected,14,2020-2024
ML for DB,Text-to-SQL / NLIDB,Undirected,2,2020-2024
ML for DB,Transactions,Undirected,2,2020-2024
ML for DB,Vector Search,Undirected,3,2020-2024
Privacy / Security,Query Optimization,Undirected,6,2020-2024
Privacy / Security,Spatial / Temporal,Undirected,2,2020-2024
Privacy / Security,Streaming,Undirected,2,2020-2024
Query Optimization,RDF / Semantic Web,Undirected,1,2020-2024
Query Optimization,Spatial / Temporal,Undirected,7,2020-2024
Query Optimization,Streaming,Undirected,5,2020-2024
Query Optimization,Transactions,Undirected,2,2020-2024
RDF / Semantic Web,Spatial / Temporal,Undirected,1,2020-2024
RDF / Semantic Web,Vector Search,Undirected,1,2020-2024
Spatial / Temporal,Streaming,Undirected,5,2020-2024
Spatial / Temporal,Transactions,Undirected,1,2020-2024
Spatial / Temporal,Vector Search,Undirected,3,2020-2024
