topic,category,year,share,prev_avg_share,burst_score
Vector Search,AI for Data Systems,2015,0.005076142131979695,,
XML,Data Models,2015,0.01015228426395939,,
Cloud DB,Systems,2016,0.004784688995215311,0.02406396557185793,-0.019279276576642617
Crowdsourcing,Applications,2016,0.014354066985645933,,
Data Analytics,Applications,2016,0.17703349282296652,0.19167729025179828,-0.014643797428831762
Data Integration,Data Processing,2016,0.028708133971291867,0.026385160976288163,0.002322972995003704
Distributed DB,Systems,2016,0.12440191387559808,0.1275802949879857,-0.003178381112387621
Graph Data,Data Models,2016,0.1339712918660287,0.12830323961399684,0.005668052252031874
Indexing,Storage & Access,2016,0.07655502392344497,0.07106054284588462,0.005494481077560356
Information Retrieval,Applications,2016,0.07655502392344497,0.09297332900663684,-0.016418305083191864
ML for DB,AI for Data Systems,2016,0.09090909090909091,0.058305596118335155,0.032603494790755756
Privacy / Security,Trust,2016,0.019138755980861243,0.019667732888301693,-0.0005289769074404496
Query Optimization,Query Processing,2016,0.11004784688995216,0.11109357253783929,-0.0010457256478871302
RDF / Semantic Web,Data Models,2016,0.023923444976076555,0.02244806032651106,0.0014753846495654949
Spatial / Temporal,Specialized Data,2016,0.05741626794258373,0.04192043514204699,0.015495832800536742
Streaming,Data Processing,2016,0.03827751196172249,0.03597675173261016,0.0023007602291123253
Transactions,Systems,2016,0.014354066985645933,0.014446994104876031,-9.292711923009761e-05
Vector Search,AI for Data Systems,2016,0.009569377990430622,,
Cloud DB,Systems,2017,0.005,0.017325528570263034,-0.012325528570263034
Crowdsourcing,Applications,2017,0.025,0.019503183304836802,0.005496816695163199
Data Analytics,Applications,2017,0.155,0.18402178785945378,-0.02902178785945378
Data Integration,Data Processing,2017,0.03,0.024287872300052114,0.005712127699947885
Distributed DB,Systems,2017,0.1,0.12571426627985172,-0.02571426627985171
Graph Data,Data Models,2017,0.14,0.1329603369026731,0.007039663097326926
Indexing,Storage & Access,2017,0.04,0.07491221748703293,-0.03491221748703293
Information Retrieval,Applications,2017,0.095,0.0801583369811185,0.014841663018881499
ML for DB,AI for Data Systems,2017,0.085,0.07360862642136545,0.011391373578634553
Privacy / Security,Trust,2017,0.015,0.017713984881922107,-0.0027139848819221074
Query Optimization,Query Processing,2017,0.12,0.11110952150115666,0.008890478498843335
RDF / Semantic Web,Data Models,2017,0.025,0.027089208651869912,-0.002089208651869911
Spatial / Temporal,Specialized Data,2017,0.07,0.04772585778957491,0.022274142210425098
Streaming,Data Processing,2017,0.06,0.03373592238651765,0.026264077613482345
Transactions,Systems,2017,0.03,0.012565016433424676,0.017434983566575323
Vector Search,AI for Data Systems,2017,0.005,0.012492190116906937,-0.007492190116906937
Cloud DB,Systems,2018,0.02654867256637168,0.0083377051303848,0.01821096743598688
Crowdsourcing,Applications,2018,0.022123893805309734,0.023270306592508037,-0.0011464127871983025
Data Analytics,Applications,2018,0.22566371681415928,0.17328358390207174,0.05238013291208754
Data Integration,Data Processing,2018,0.022123893805309734,0.029721662254390015,-0.007597768449080281
Distributed DB,Systems,2018,0.08849557522123894,0.12556205927832967,-0.03706648405709073
Graph Data,Data Models,2018,0.10176991150442478,0.13700904314316018,-0.03523913163873539
Indexing,Storage & Access,2018,0.05752212389380531,0.06084829054639367,-0.0033261666525883637
